1 2 3
|134 |3 |4.668 |
|----|--|------|
|135 |4 |5.317 |
|----|--|------|
|136 |1 |6.443 |
|----|--|------|
|137 |4 |4.400 |
|----|--|------|
|138 |4 |6.006 |
|----|--|------|
|139 |4 |4.894 |
|----|--|------|
|140 |1 |3.420 |
|----|--|------|
|141 |4 |6.882 |
|----|--|------|
|142 |4 |5.051 |
|----|--|------|
|143 |4 |2.025 |
|----|--|------|
|144 |3 |6.418 |
|----|--|------|
|145 |1 |3.832 |
|----|--|------|
|146 |1 |4.115 |
|----|--|------|
|147 |1 |3.811 |
|----|--|------|
|148 |4 |3.314 |
|----|--|------|
|149 |3 |3.362 |
|----|--|------|
|150 |3 |5.072 |
|----|--|------|
|151 |3 |2.032 |
|----|--|------|
|152 |3 |7.377 |
|----|--|------|
|153 |4 |7.557 |
|----|--|------|
|154 |1 |4.009 |
|----|--|------|
|155 |4 |4.759 |
|----|--|------|
|156 |4 |5.057 |
|----|--|------|
|157 |3 |7.762 |
|----|--|------|
|158 |4 |5.392 |
|----|--|------|
|159 |3 |9.724 |
|----|--|------|
|160 |1 |3.863 |
|----|--|------|
|161 |1 |3.738 |
|----|--|------|
|162 |4 |7.523 |
|----|--|------|
|163 |3 |5.300 |
|----|--|------|
|164 |1 |2.733 |
|----|--|------|
|165 |4 |5.266 |
|----|--|------|
|166 |1 |4.660 |
|----|--|------|
|167 |4 |5.170 |
|----|--|------|
|168 |1 |4.882 |
|----|--|------|
|169 |1 |5.195 |
|----|--|------|
|170 |1 |5.702 |
|----|--|------|
|171 |3 |6.928 |
|----|--|------|
|172 |4 |8.990 |
|----|--|------|
|173 |1 |3.330 |
|----|--|------|
|174 |4 |2.025 |
|----|--|------|
|175 |1 |4.817 |
|----|--|------|
|176 |4 |8.397 |
|----|--|------|
|177 |1 |6.286 |
|----|--|------|
|178 |3 |4.856 |
|----|--|------|
|179 |1 |3.738 |
|----|--|------|
|180 |1 |5.401 |
|----|--|------|
|181 |1 |3.738 |
|----|--|------|
|182 |3 |5.076 |
|----|--|------|
|183 |4 |2.950 |
|----|--|------|
|184 |4 |5.729 |
|----|--|------|
|185 |1 |3.738 |
|----|--|------|
|186 |1 |5.081 |
|----|--|------|
|187 |1 |5.499 |
|----|--|------|
|188 |4 |3.453 |
|----|--|------|
|189 |4 |4.963 |
|----|--|------|
|190 |1 |4.409 |
|----|--|------|
|191 |1 |7.958 |
|----|--|------|
|192 |1 |3.738 |
|----|--|------|
|193 |1 |3.145 |
|----|--|------|
|194 |3 |2.524 |
|----|--|------|
|195 |1 |6.584 |
|----|--|------|
|196 |4 |4.595 |
|----|--|------|
|197 |1 |5.364 |
|----|--|------|
|198 |4 |5.647 |
|----|--|------|
|199 |3 |14.593|
|----|--|------|
|200 |4 |4.764 |
|----|--|------|
|201 |1 |3.781 |
|----|--|------|
|202 |1 |4.897 |
|----|--|------|
|203 |1 |3.738 |
|----|--|------|
|204 |4 |3.687 |
|----|--|------|
|205 |4 |6.102 |
|----|--|------|
|206 |1 |4.084 |
|----|--|------|
|207 |1 |2.762 |
|----|--|------|
|208 |4 |7.125 |
|----|--|------|
|209 |4 |7.235 |
|----|--|------|
|210 |4 |3.742 |
|----|--|------|
|211 |1 |3.884 |
|----|--|------|
|212 |4 |6.559 |
|----|--|------|
|213 |4 |9.019 |
|----|--|------|
|214 |1 |3.660 |
|----|--|------|
|215 |3 |13.929|
|----|--|------|
|216 |1 |4.986 |
|----|--|------|
|217 |1 |4.199 |
|----|--|------|
|218 |4 |3.861 |
|----|--|------|
|219 |1 |5.216 |
|----|--|------|
|220 |4 |6.267 |
|----|--|------|
|221 |1 |3.738 |
|----|--|------|
|222 |4 |5.275 |
|----|--|------|
|223 |3 |2.100 |
|----|--|------|
|224 |4 |5.348 |
|----|--|------|
|225 |3 |2.123 |
|----|--|------|
|226 |1 |3.173 |
|----|--|------|
|227 |1 |3.443 |
|----|--|------|
|228 |4 |11.905|
|----|--|------|
|229 |1 |3.738 |
|----|--|------|
|230 |4 |8.258 |
|----|--|------|
|231 |1 |3.876 |
|----|--|------|
|232 |1 |5.535 |
|----|--|------|
|233 |4 |10.345|
|----|--|------|
|234 |4 |6.696 |
|----|--|------|
|235 |4 |4.891 |
|----|--|------|
|236 |1 |3.529 |
|----|--|------|
|237 |3 |5.017 |
|----|--|------|
|238 |4 |6.093 |
|----|--|------|
|239 |1 |5.602 |
|----|--|------|
|240 |4 |6.963 |
|----|--|------|
|241 |1 |4.407 |
|----|--|------|
|242 |4 |5.903 |
|----|--|------|
|243 |4 |5.037 |
|----|--|------|
|244 |4 |4.341 |
|----|--|------|
|245 |1 |4.232 |
|----|--|------|
|246 |4 |4.255 |
|----|--|------|
|247 |3 |7.851 |
|----|--|------|
|248 |1 |4.739 |
|----|--|------|
|249 |1 |3.738 |
|----|--|------|
|250 |4 |5.967 |
|----|--|------|
|251 |3 |2.813 |
|----|--|------|
|252 |4 |5.858 |
|----|--|------|
|253 |4 |7.347 |
|----|--|------|
|254 |1 |3.738 |
|----|--|------|
|255 |1 |3.738 |
|----|--|------|
|256 |1 |3.738 |
|----|--|------|
|257 |4 |4.205 |
|----|--|------|
|258 |4 |5.771 |
|----|--|------|
|259 |4 |6.012 |
|----|--|------|
|260 |1 |5.999 |
|----|--|------|
|261 |4 |4.338 |
|----|--|------|
|262 |4 |6.166 |
|----|--|------|
|263 |1 |5.955 |
|----|--|------|
|264 |4 |2.222 |
|----|--|------|
|265 |4 |6.162 |
|----|--|------|
|266 |1 |3.511 |
|----|--|------|
|267 |1 |3.660 |
|----|--|------|
|268 |1 |3.738 |
|----|--|------|
|269 |4 |4.713 |
|----|--|------|
|270 |1 |2.762 |
|----|--|------|
|271 |1 |4.875 |
|----|--|------|
|272 |4 |3.469 |
|----|--|------|
|273 |1 |3.368 |
|----|--|------|
|274 |4 |6.134 |
|----|--|------|
|275 |1 |3.620 |
|----|--|------|
|276 |4 |2.760 |
|----|--|------|
|277 |3 |8.806 |
|----|--|------|
|278 |1 |5.649 |
|----|--|------|
|279 |1 |3.898 |
|----|--|------|
|280 |4 |6.406 |
|----|--|------|
|281 |1 |6.778 |
|----|--|------|
|282 |4 |7.161 |
|----|--|------|
|283 |3 |5.726 |
|----|--|------|
|284 |1 |2.762 |
|----|--|------|
|285 |4 |8.377 |
|----|--|------|
|286 |4 |2.025 |
|----|--|------|
|287 |4 |7.349 |
|----|--|------|
|288 |1 |5.401 |
|----|--|------|
|289 |4 |7.208 |
|----|--|------|
|290 |1 |11.606|
|----|--|------|
|291 |1 |2.996 |
|----|--|------|
|292 |1 |4.848 |
|----|--|------|
|293 |1 |4.520 |
|----|--|------|
|294 |4 |5.567 |
|----|--|------|
|295 |4 |6.314 |
|----|--|------|
|296 |1 |3.927 |
|----|--|------|
|297 |4 |5.285 |
|----|--|------|
|298 |4 |8.034 |
|----|--|------|
|299 |3 |6.848 |
|----|--|------|
|300 |1 |5.401 |
|----|--|------|
|301 |1 |3.660 |
|----|--|------|
|302 |1 |3.656 |
|----|--|------|
|303 |1 |6.016 |
|----|--|------|
|304 |1 |5.318 |
|----|--|------|
|305 |1 |3.655 |
|----|--|------|
|306 |4 |5.177 |
|----|--|------|
|307 |3 |3.112 |
|----|--|------|
|308 |4 |6.456 |
|----|--|------|
|309 |3 |13.880|
|----|--|------|
|310 |1 |3.738 |
|----|--|------|
|311 |1 |5.403 |
|----|--|------|
|312 |4 |5.708 |
|----|--|------|
|313 |1 |3.782 |
|----|--|------|
|314 |4 |10.574|
|----|--|------|
|315 |1 |3.738 |
|----|--|------|
|316 |1 |6.056 |
|----|--|------|
|317 |4 |3.287 |
|----|--|------|
|318 |1 |4.011 |
|----|--|------|
|319 |4 |1.632 |
|----|--|------|
|320 |4 |5.038 |
|----|--|------|
|321 |4 |10.417|
|----|--|------|
|322 |3 |5.583 |
|----|--|------|
|323 |1 |8.241 |
|----|--|------|
|324 |3 |7.568 |
|----|--|------|
|325 |4 |6.882 |
|----|--|------|
|326 |1 |6.685 |
|----|--|------|
|327 |4 |7.526 |
|----|--|------|
|328 |3 |2.524 |
|----|--|------|
|329 |1 |6.672 |
|----|--|------|
|330 |3 |5.085 |
|----|--|------|
|331 |3 |6.899 |
|----|--|------|
|332 |3 |2.302 |
|----|--|------|
|333 |1 |3.738 |
|----|--|------|
|334 |1 |4.225 |
|----|--|------|
|335 |4 |5.024 |
|----|--|------|
|336 |1 |3.738 |
|----|--|------|
|337 |4 |7.736 |
|----|--|------|
|338 |3 |5.072 |
|----|--|------|
|339 |1 |5.680 |
|----|--|------|
|340 |1 |5.114 |
|----|--|------|
|341 |4 |4.133 |
|----|--|------|
|342 |1 |7.793 |
|----|--|------|
|343 |4 |5.406 |
|----|--|------|
|344 |4 |3.940 |
|----|--|------|
|345 |4 |3.586 |
|----|--|------|
|346 |1 |7.065 |
|----|--|------|
|347 |4 |1.831 |
|----|--|------|
|348 |4 |6.034 |
|----|--|------|
|349 |3 |7.508 |
|----|--|------|
|350 |4 |7.788 |
|----|--|------|
|351 |1 |5.360 |
|----|--|------|
|352 |1 |8.846 |
|----|--|------|
|353 |1 |4.053 |
|----|--|------|
|354 |1 |6.741 |
|----|--|------|
|355 |1 |6.028 |
|----|--|------|
|356 |3 |2.937 |
|----|--|------|
|357 |1 |3.738 |
|----|--|------|
|358 |3 |15.617|
|----|--|------|
|359 |4 |6.619 |
|----|--|------|
|360 |1 |4.599 |
|----|--|------|
|361 |1 |3.738 |
|----|--|------|
|362 |4 |7.888 |
|----|--|------|
|363 |4 |6.858 |
|----|--|------|
|364 |1 |5.405 |
|----|--|------|
|365 |1 |5.139 |
|----|--|------|
|366 |4 |5.906 |
|----|--|------|
|367 |1 |6.047 |
|----|--|------|
|368 |1 |5.608 |
|----|--|------|
|369 |4 |1.632 |
|----|--|------|
|370 |4 |5.725 |
|----|--|------|
|371 |4 |3.323 |
|----|--|------|
|372 |1 |5.390 |
|----|--|------|
|373 |1 |4.685 |
|----|--|------|
|374 |1 |4.469 |
|----|--|------|
|375 |4 |5.303 |
|----|--|------|
|376 |4 |9.579 |
|----|--|------|
|377 |1 |3.420 |
|----|--|------|
|378 |4 |6.847 |
|----|--|------|
|379 |4 |5.448 |
|----|--|------|
|380 |1 |4.814 |
|----|--|------|
|381 |1 |8.335 |
|----|--|------|
|382 |4 |8.150 |
|----|--|------|
|383 |3 |5.463 |
|----|--|------|
|384 |1 |6.133 |
|----|--|------|
|385 |4 |8.979 |
|----|--|------|
|386 |4 |6.145 |
|----|--|------|
|387 |4 |2.085 |
|----|--|------|
|388 |1 |4.848 |
|----|--|------|
|389 |4 |10.307|
|----|--|------|
|390 |4 |9.269 |
|----|--|------|
|391 |1 |5.343 |
|----|--|------|
|392 |4 |3.655 |
|----|--|------|
|393 |4 |6.713 |
|----|--|------|
|394 |1 |3.319 |
|----|--|------|
|395 |1 |3.743 |
|----|--|------|
|396 |4 |7.143 |
|----|--|------|
|397 |1 |9.933 |
|----|--|------|
|398 |1 |3.443 |
|----|--|------|
|399 |4 |9.181 |
|----|--|------|
|400 |4 |8.732 |
|----|--|------|
|401 |4 |6.749 |
|----|--|------|
|402 |4 |10.580|
|----|--|------|
|403 |4 |5.236 |
|----|--|------|
|404 |3 |3.702 |
|----|--|------|
|405 |4 |7.073 |
|----|--|------|
|406 |1 |3.738 |
|----|--|------|
|407 |1 |5.650 |
|----|--|------|
|408 |1 |5.214 |
|----|--|------|
|409 |4 |5.739 |
|----|--|------|
|410 |4 |6.891 |
|----|--|------|
|411 |1 |5.201 |
|----|--|------|
|412 |1 |4.907 |
|----|--|------|
|413 |4 |2.800 |
|----|--|------|
|414 |4 |6.847 |
|----|--|------|
|415 |1 |5.047 |
|----|--|------|
|416 |4 |12.824|
|----|--|------|
|417 |4 |3.556 |
|----|--|------|
|418 |4 |5.405 |
|----|--|------|
|419 |3 |5.072 |
|----|--|------|
|420 |1 |3.738 |
|----|--|------|
|421 |4 |2.025 |
|----|--|------|
|422 |4 |6.991 |
|----|--|------|
|423 |4 |7.864 |
|----|--|------|
|424 |4 |3.839 |
|----|--|------|
|425 |4 |5.035 |
|----|--|------|
|426 |1 |5.090 |
|----|--|------|
|427 |1 |3.747 |
|----|--|------|
|428 |1 |3.738 |
|----|--|------|
|429 |4 |6.506 |
|----|--|------|
|430 |4 |5.030 |
|----|--|------|
|431 |1 |3.417 |
|----|--|------|
|432 |1 |8.710 |
|----|--|------|
|433 |1 |3.717 |
|----|--|------|
|434 |3 |8.310 |
|----|--|------|
|435 |4 |4.835 |
|----|--|------|
|436 |4 |2.162 |
|----|--|------|
|437 |1 |5.747 |
|----|--|------|
|438 |3 |7.790 |
|----|--|------|
|439 |4 |9.018 |
|----|--|------|
|440 |4 |1.632 |
|----|--|------|
|441 |4 |11.586|
|----|--|------|
|442 |1 |4.916 |
|----|--|------|
|443 |1 |3.738 |
|----|--|------|
|444 |4 |4.004 |
|----|--|------|
|445 |1 |4.644 |
|----|--|------|
|446 |4 |5.860 |
|----|--|------|
|447 |3 |9.049 |
|----|--|------|
|448 |1 |6.723 |
|----|--|------|
|449 |1 |3.787 |
|----|--|------|
|450 |1 |3.738 |
|----|--|------|
|451 |1 |3.738 |
|----|--|------|
|452 |1 |3.738 |
|----|--|------|
|453 |4 |6.255 |
|----|--|------|
|454 |4 |2.025 |
|----|--|------|
|455 |4 |5.490 |
|----|--|------|
|456 |4 |5.689 |
|----|--|------|
|457 |4 |4.840 |
|----|--|------|
|458 |4 |5.161 |
|----|--|------|
|459 |1 |3.738 |
|----|--|------|
|460 |4 |6.688 |
|----|--|------|
|461 |3 |2.675 |
|----|--|------|
|462 |4 |9.270 |
|----|--|------|
|463 |4 |7.730 |
|----|--|------|
|464 |1 |3.738 |
|----|--|------|
|465 |1 |3.738 |
|----|--|------|
|466 |1 |5.508 |
|----|--|------|
|467 |4 |7.366 |
|----|--|------|
|468 |3 |1.828 |
|----|--|------|
|469 |1 |3.738 |
|----|--|------|
|470 |4 |4.310 |
|----|--|------|
|471 |4 |5.918 |
|----|--|------|
|472 |4 |5.425 |
|----|--|------|
|473 |4 |5.530 |
|----|--|------|
|474 |4 |3.227 |
|----|--|------|
|475 |4 |5.644 |
|----|--|------|
|476 |4 |10.156|
|----|--|------|
|477 |4 |5.889 |
|----|--|------|
|478 |4 |5.574 |
|----|--|------|
|479 |4 |4.901 |
|----|--|------|
|480 |4 |8.441 |
|----|--|------|
|481 |1 |3.687 |
|----|--|------|
|482 |1 |2.762 |
|----|--|------|
|483 |2 |14.133|
|----|--|------|
|484 |1 |3.900 |
|----|--|------|
|485 |1 |7.599 |
|----|--|------|
|486 |4 |3.124 |
|----|--|------|
|487 |3 |2.524 |
|----|--|------|
|488 |4 |5.001 |
|----|--|------|
|489 |1 |4.234 |
|----|--|------|
|490 |4 |2.019 |
|----|--|------|
|491 |4 |6.470 |
|----|--|------|
|492 |4 |5.392 |
|----|--|------|
|493 |3 |11.641|
|----|--|------|
|494 |4 |4.069 |
|----|--|------|
|495 |4 |4.848 |
|----|--|------|
|496 |4 |3.910 |
|----|--|------|
|497 |1 |3.738 |
|----|--|------|
|498 |1 |3.738 |
|----|--|------|
|499 |4 |5.494 |
|----|--|------|
|500 |4 |1.632 |
|----|--|------|
|501 |1 |3.738 |
|----|--|------|
|502 |3 |5.047 |
|----|--|------|
|503 |1 |5.336 |
|----|--|------|
|504 |4 |5.182 |
|----|--|------|
|505 |3 |3.976 |
|----|--|------|
|506 |4 |3.519 |
|----|--|------|
|507 |4 |9.956 |
|----|--|------|
|508 |4 |8.025 |
|----|--|------|
|509 |4 |4.054 |
|----|--|------|
|510 |4 |8.825 |
|----|--|------|
|511 |1 |6.101 |
|----|--|------|
|512 |4 |13.677|
|----|--|------|
|513 |4 |2.019 |
|----|--|------|
|514 |1 |6.720 |
|----|--|------|
|515 |1 |3.660 |
|----|--|------|
|516 |4 |5.444 |
|----|--|------|
|517 |1 |3.738 |
|----|--|------|
|518 |3 |7.675 |
|----|--|------|
|519 |1 |3.441 |
|----|--|------|
|520 |1 |3.451 |
|----|--|------|
|521 |1 |3.738 |
|----|--|------|
|522 |4 |6.229 |
|----|--|------|
|523 |4 |4.837 |
|----|--|------|
|524 |1 |3.738 |
|----|--|------|
|525 |1 |3.443 |
|----|--|------|
|526 |4 |2.025 |
|----|--|------|
|527 |1 |3.578 |
|----|--|------|
|528 |1 |2.906 |
|----|--|------|
|529 |4 |4.617 |
|----|--|------|
|530 |1 |6.282 |
|----|--|------|
|531 |4 |1.207 |
|----|--|------|
|532 |1 |3.660 |
|----|--|------|
|533 |4 |7.359 |
|----|--|------|
|534 |1 |6.148 |
|----|--|------|
|535 |1 |7.591 |
|----|--|------|
|536 |1 |3.738 |
|----|--|------|
|537 |1 |5.381 |
|----|--|------|
|538 |4 |9.105 |
|----|--|------|
|539 |1 |5.227 |
|----|--|------|
|540 |3 |3.106 |
|----|--|------|
|541 |4 |6.255 |
|----|--|------|
|542 |4 |5.472 |
|----|--|------|
|543 |4 |2.313 |
|----|--|------|
|544 |1 |3.791 |
|----|--|------|
|545 |1 |3.738 |
|----|--|------|
|546 |4 |2.025 |
|----|--|------|
|547 |4 |9.048 |
|----|--|------|
|548 |1 |3.672 |
|----|--|------|
|549 |4 |4.655 |
|----|--|------|
|550 |1 |5.715 |
|----|--|------|
|551 |3 |10.619|
|----|--|------|
|552 |3 |6.406 |
|----|--|------|
|553 |4 |10.399|
|----|--|------|
|554 |1 |3.738 |
|----|--|------|
|555 |3 |2.045 |
|----|--|------|
|556 |4 |6.048 |
|----|--|------|
|557 |4 |4.769 |
|----|--|------|
|558 |1 |6.322 |
|----|--|------|
|559 |4 |8.005 |
|----|--|------|
|560 |1 |6.166 |
|----|--|------|
|561 |4 |6.497 |
|----|--|------|
|562 |4 |6.821 |
|----|--|------|
|563 |1 |3.738 |
|----|--|------|
|564 |4 |6.757 |
|----|--|------|
|565 |1 |5.139 |
|----|--|------|
|566 |1 |6.459 |
|----|--|------|
|567 |1 |3.443 |
|----|--|------|
|568 |3 |2.524 |
|----|--|------|
|569 |3 |4.240 |
|----|--|------|
|570 |1 |3.443 |
|----|--|------|
|571 |1 |3.738 |
|----|--|------|
|572 |4 |8.349 |
|----|--|------|
|573 |3 |8.370 |
|----|--|------|
|574 |4 |5.650 |
|----|--|------|
|575 |3 |5.072 |
|----|--|------|
|576 |1 |3.660 |
|----|--|------|
|577 |4 |2.025 |
|----|--|------|
|578 |4 |6.223 |
|----|--|------|
|579 |4 |4.129 |
|----|--|------|
|580 |4 |10.269|
|----|--|------|
|581 |4 |2.230 |
|----|--|------|
|582 |1 |3.932 |
|----|--|------|
|583 |4 |6.218 |
|----|--|------|
|584 |1 |4.003 |
|----|--|------|
|585 |3 |5.072 |
|----|--|------|
|586 |1 |6.818 |
|----|--|------|
|587 |4 |8.869 |
|----|--|------|
|588 |2 |9.108 |
|----|--|------|
|589 |2 |10.191|
|----|--|------|
|590 |4 |11.341|
|----|--|------|
|591 |3 |10.670|
|----|--|------|
|592 |2 |9.217 |
|----|--|------|
|593 |2 |11.719|
|----|--|------|
|594 |2 |9.837 |
|----|--|------|
|595 |2 |11.974|
|----|--|------|
|596 |4 |11.094|
|----|--|------|
|597 |2 |9.028 |
|----|--|------|
|598 |2 |9.744 |
|----|--|------|
|599 |4 |12.283|
|----|--|------|
|600 |4 |9.607 |
|----|--|------|
|601 |2 |10.328|
|----|--|------|
|602 |3 |11.026|
|----|--|------|
|603 |3 |9.942 |
|----|--|------|
|604 |2 |8.281 |
|----|--|------|
|605 |3 |10.773|
|----|--|------|
|606 |2 |10.561|
|----|--|------|
|607 |3 |10.815|
|----|--|------|
|608 |2 |11.378|
|----|--|------|
|609 |3 |13.457|
|----|--|------|
|610 |2 |11.154|
|----|--|------|
|611 |4 |8.842 |
|----|--|------|
|612 |2 |9.365 |
|----|--|------|
|613 |2 |9.552 |
|----|--|------|
|614 |3 |10.427|
|----|--|------|
|615 |3 |12.627|
|----|--|------|
|616 |3 |12.148|
|----|--|------|
|617 |3 |10.694|
|----|--|------|
|618 |2 |10.218|
|----|--|------|
|619 |4 |12.069|
|----|--|------|
|620 |2 |8.770 |
|----|--|------|
|621 |4 |10.025|
|----|--|------|
|622 |2 |8.348 |
|----|--|------|
|623 |2 |10.903|
|----|--|------|
|624 |3 |11.113|
|----|--|------|
|625 |2 |11.052|
|----|--|------|
|626 |3 |9.752 |
|----|--|------|
|627 |4 |11.551|
|----|--|------|
|628 |4 |12.253|
|----|--|------|
|629 |3 |9.003 |
|----|--|------|
|630 |4 |11.590|
|----|--|------|
|631 |4 |10.868|
|----|--|------|
|632 |2 |10.406|
|----|--|------|
|633 |2 |10.060|
|----|--|------|
|634 |2 |9.189 |
|----|--|------|
|635 |3 |11.000|
|----|--|------|
|636 |2 |13.302|
|----|--|------|
|637 |3 |9.693 |
|----|--|------|
|638 |3 |9.680 |
|----|--|------|
|639 |3 |10.503|
|----|--|------|
|640 |3 |11.243|
|----|--|------|
|641 |4 |10.003|
|----|--|------|
|642 |3 |12.629|
|----|--|------|
|643 |2 |10.408|
|----|--|------|
|644 |3 |10.973|
|----|--|------|
|645 |2 |11.799|
|----|--|------|
|646 |2 |10.535|
|----|--|------|
|647 |2 |11.769|
|----|--|------|
|648 |3 |12.972|
|----|--|------|
|649 |3 |10.289|
|----|--|------|
|650 |3 |9.088 |
|----|--|------|
|651 |2 |10.068|
|----|--|------|
|652 |3 |9.543 |
|----|--|------|
|653 |4 |9.581 |
|----|--|------|
|654 |2 |10.661|
|----|--|------|
|655 |3 |11.008|
|----|--|------|
|656 |4 |10.049|
|----|--|------|
|657 |2 |11.898|
|----|--|------|
|658 |3 |9.257 |
|----|--|------|
|659 |3 |11.701|
|----|--|------|
|660 |3 |11.470|
|----|--|------|
|661 |2 |10.577|
|----|--|------|
|662 |2 |8.599 |
|----|--|------|
|663 |2 |10.223|
|----|--|------|
|664 |2 |10.902|
|----|--|------|
|665 |2 |12.937|
|----|--|------|
|666 |2 |10.411|
|----|--|------|
|667 |4 |10.107|
|----|--|------|
|668 |3 |10.305|
