199123,47127.43619,743.075187,83
82285,26221.72528,508.724098,619
4125,23308.26754,204.536037,323
8139,20481.16268,220.07623,47
14606,21927.08384,189.023916,121
20568,21224.50393,250.943865,2067
4449,21117.31243,192.0081,1538
9132,20228.56105,176.077397,277
7817,20489.84512,204.866662,236
5962,20627.85574,177.347075,991
4867,19372.6178,177.065192,2532
4368,19303.92992,169.174279,1606
5495,19533.09759,175.564769,553
6675,18257.32217,170.490621,462
5706,20142.7765,145.574445,313
5305,18111.12142,162.612961,67
6200,19499.7762,175.169064,80
8666,18602.76171,213.94713,1529
10811,20033.43326,221.56116,128
9879,19616.92582,207.151505,105
9353,18454.68574,208.849528,129
9492,19293.24889,167.830054,90
9448,18190.29791,188.328762,213
7064,18261.92789,197.067178,2754
